# X , Y , E Distribution=true
0
0.8,0.035585,0.000689713
1,0.0429609,0.000735455
1.2,0.0494069,0.000771141
1.4,0.0552632,0.000803154
1.6,0.0591853,0.000837771
1.8,0.0634284,0.000875678
2,0.0684158,0.000925128
2.2,0.0725045,0.000974499
2.4,0.0778684,0.0010334
2.6,0.0853827,0.00109822
2.8,0.0944251,0.00116268
3,0.10266,0.00122528
3.2,0.110954,0.00128695
3.4,0.120514,0.00135055
3.6,0.130727,0.00141319
3.8,0.139455,0.00147438
4,0.147092,0.00153458
4.2,0.155355,0.00159253
4.4,0.162716,0.00164741
4.6,0.170668,0.00170449
4.8,0.179115,0.00175794
5,0.186369,0.00180879
5.2,0.196593,0.00186125
5.4,0.208595,0.00192125
5.6,0.217934,0.00198362
5.8,0.229253,0.0020515
6,0.241904,0.00211545
6.2,0.253304,0.00218183
6.4,0.264481,0.00225019
6.6,0.274868,0.00231383
6.8,0.283576,0.00237279
7,0.292922,0.00242385
7.2,0.30348,0.00247213
7.4,0.312133,0.00252034
7.6,0.320974,0.00256264
7.8,0.326581,0.00259738
8,0.333636,0.00264108
8.2,0.339061,0.0026837
8.4,0.345905,0.00273144
8.6,0.348356,0.00277421
8.8,0.350037,0.00281668
9,0.351574,0.00286493
9.2,0.353022,0.00291325
9.4,0.356253,0.00296031
9.6,0.35854,0.00301165
9.8,0.362942,0.00306299
10,0.366285,0.00311574
10.2,0.376335,0.00318382
10.4,0.385915,0.00325794
10.6,0.402313,0.00335182
10.8,0.418774,0.00345228
11,0.43703,0.00356219
11.2,0.452557,0.00366625
11.4,0.46941,0.00376006
11.6,0.479491,0.00383567
11.8,0.484344,0.00388715
12,0.484307,0.00392319
12.2,0.476627,0.0039332
12.4,0.46929,0.00393232
12.6,0.462376,0.00393166
12.8,0.456611,0.00394544
13,0.447743,0.00396283
13.2,0.442266,0.0039885
13.4,0.434747,0.00402043
13.6,0.434253,0.00406799
13.8,0.429916,0.00411237
14,0.427692,0.00416639
14.2,0.424509,0.00421602
14.4,0.425715,0.00427277
14.6,0.424015,0.00433834
14.8,0.4326,0.00441443
15,0.433314,0.00448109
15.2,0.43722,0.00454331
15.4,0.436142,0.00459555
15.6,0.440512,0.0046583
15.8,0.442138,0.00473191
16,0.446978,0.0047898
16.2,0.443081,0.00483542
16.4,0.44251,0.00489162
16.6,0.441073,0.00495333
16.8,0.441598,0.00503091
17,0.435596,0.00510604
17.2,0.435626,0.00516388
17.4,0.434397,0.00524546
17.6,0.438674,0.00534583
17.8,0.443928,0.00544108
18,0.446847,0.00554027
18.2,0.451814,0.00563618
18.4,0.455584,0.00573963
18.6,0.456921,0.00585249
18.8,0.460225,0.00595842
19,0.455648,0.00605964
19.2,0.45089,0.0061767
19.4,0.451201,0.00628146
19.6,0.453467,0.00638545
19.8,0.457598,0.00646628
20,0.45382,0.00653742
20.2,0.454555,0.00659284
20.4,0.455843,0.00663158
20.6,0.458113,0.00665906
20.8,0.459625,0.00668396
21,0.456781,0.00671585
21.2,0.456474,0.00674137
21.4,0.457034,0.00675934
21.6,0.460733,0.00678399
21.8,0.458584,0.00681064
22,0.460355,0.00683988
22.2,0.461149,0.00687177
22.4,0.45992,0.00689395
22.6,0.458428,0.00692534
22.8,0.455974,0.00694013
23,0.452307,0.00696839
23.2,0.45321,0.00700063
23.4,0.448712,0.00701496
23.6,0.448641,0.00704725
23.8,0.451639,0.00706421
24,0.452853,0.00710173
24.2,0.462341,0.00714324
24.4,0.464485,0.00717525
24.6,0.468382,0.00718126
24.8,0.473796,0.00721316
25,0.473521,0.00721734
25.2,0.47455,0.00724736
25.4,0.475042,0.00725483
25.6,0.476789,0.00728108
25.8,0.478247,0.00730761
26,0.482728,0.00738358
26.2,0.489435,0.00745548
26.4,0.49579,0.00753233
26.6,0.498944,0.00760244
26.8,0.497298,0.00767459
27,0.497269,0.00777224
27.2,0.500708,0.00787454
27.4,0.500374,0.00793066
27.6,0.496608,0.00798237
27.8,0.495604,0.00802804
28,0.491052,0.00806698
28.2,0.501321,0.00810186
28.4,0.501956,0.0080929
28.6,0.49325,0.00805828
